"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"LIVING INDEPENDENCE FOR THE ELDERLY PITTSBURGH INC","LIFE Pittsburgh","H3918","National PACE","National PACE","05/01/2005","Not-for-Profit/Non-Profit","Living Independence for the Elderly Pittsburgh Inc","Philadelphia","513","875 Greentree Road","One Parkway Center, Suite 200","PITTSBURGH","PA","15220","CFO","Schmitt","Laura","B","1-412-388-8042","","1-412-388-8055","lschmitt@lifepittsburgh.org","875 Greentree Road","One Parkway Center, Suite 200","Pittsburgh","PA","15220","01/05/2021"
"LOCAL INITIATIVE HEALTH AUTHORITY FOR LA COUNTY","L.A. Care Health Plan","H1224","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","Local Initiative Health Authority for LA County","Dallas","27,282","1200 West 7th Street","","Los Angeles","CA","90017","Customer Solution Center","Service Unit","Provider","","1-866-522-2736","","","mtisdale@lacare.org","1200 West 7th Street","","Los Angeles","CA","90017","04/30/2024"
"LOMA LINDA UNIVERSITY MEDICAL CENTER","Loma Linda University Health PACE","H6147","National PACE","National PACE","01/01/2024","Not-for-Profit/Non-Profit","Loma Linda University Medical Center","San Francisco","91","11234 Anderson Street","","Loma Linda","CA","92354","Program Director","Von Esch","Leslie","","1-909-558-7223","","","LVonEsch@llu.edu","1790 West Park Ave","","Redlands","CA","92373","03/06/2024"
"LONGEVITY HEALTH PLAN OF COLORADO, INC.","Longevity Health Plan","H0363","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Longevity Health Founders, LLC","Seattle","403","485 Madison Avenue","","New York","NY","10022","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","05/03/2022"
"LONGEVITY HEALTH PLAN OF FLORIDA, INC.","Longevity Health Plan","H1644","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Longevity Health Founders, LLC","Seattle","748","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","05/30/2025"
"LONGEVITY HEALTH PLAN OF ILLINOIS, INC.","Longevity Health","H9590","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Longevity Health Founders, LLC","Seattle","875","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","05/30/2025"
"LONGEVITY HEALTH PLAN OF MICHIGAN, INC.","Longevity Health Plan","H7557","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Longevity Health Founders, LLC","Seattle","1,240","485 Madison Avenue","Suite 202","New York","NY","10022","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","05/30/2025"
"LONGEVITY HEALTH PLAN OF NEW JERSEY INSURANCE COMP","Longevity Health Plan","H9942","Local CCP","Local PPO","01/01/2020","For Profit","Longevity Health Founders, LLC","Seattle","1,126","695 Cross St","Suite 185","Lakewood","NJ","08701","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","05/30/2025"
"LONGEVITY HEALTH PLAN OF NEW YORK, INC.","Longevity Health Plan","H8457","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Longevity Health Founders, LLC","Seattle","776","485 Madison Avenue","Suite 202","New York","NY","10022","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","05/30/2025"
"LONGEVITY HEALTH PLAN OF NORTH CAROLINA, INC.","Longevity Health Plan","H5374","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Longevity Health Founders, LLC","Seattle","1,102","11780 U.S. Highway 1 Suite N107","Suite 3E102","Palm Beach Gardens","FL","33408","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","05/30/2025"
"LORETTO INDEPENDENT LIVING SERVICES, INC.","Independent Living Srvcs Of Central Ny","H3321","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","Loretto Rest Realty Corporation","New York","606","100 MALTA LANE","","NORTH SYRACUSE","NY","13212","Marketing Director","Natoli","Tammy","","1-315-413-4579","","","tnatoli@lorettosystem.org","100 Malta Lane","","North Syracuse","NY","13212","05/03/2022"
"LOUISIANA HEALTH SERVICE & INDEMNITY COMPANY","Blue Cross and Blue Shield of Louisiana","H1248","Local CCP","Local PPO","01/01/2019","Not-for-Profit/Non-Profit","Louisiana Health Service & Indemnity Company","Dallas","12,409","5525 Reitz Avenue","","Baton Rouge","LA","70809","Customer Service","Service","Customer","","1-866-508-7145","","","customerservice@blueadvantage.lablue.com","5525 Reitz Ave","","Baton Rouge","LA","70809","12/18/2024"
"LOUISIANA HEALTHCARE CONNECTIONS, INC.","Wellcare by Allwell","H5117","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Denver","","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","06/25/2024"
"LUBBOCK REGIONAL MENTAL HEALTH MENTAL RETARDATION","Silver Star","H9998","National PACE","National PACE","05/01/2010","Not-for-Profit/Non-Profit","Lubbock Regional Mental Health","New York","149","PO Box 2828","4010 22nd Street","LUBBOCK","TX","794082828","Director of Data Manageme","SHELL","BRIAN","","1-806-767-1726","","1-806-791-0578","PACEdatateam@starcarelubbock.org","P.O. Box 2828","","Lubbock","TX","79408","01/18/2019"
"LUTHERAN SENIOR HEALTHCARE, INC.","Lutheran Senior LIFE","H6371","National PACE","National PACE","07/01/2010","Not-for-Profit/Non-Profit","Lutheran Social Ministries of New Jersey","New York","89","3 Manhattan Drive","","Burlington","NJ","08016","Executive Director","Iavarone","Maria","","1-201-499-3900","3879","1-201-706-2092","miavarone@lsmnj.org","377 Jersey Avenue","Suite   310","Jersey City","NJ","07302","12/03/2021"
"MAGNOLIA HEALTH PLAN, INC.","Wellcare by Allwell","H9811","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Centene Corporation","Denver","","7700 Forsyth Blvd","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"MANAGED HEALTH SERVICES INSURANCE CORP.","Wellcare by Allwell","H8189","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Centene Corporation","Denver","8,472","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"MARQUIS ADVANTAGE, INC.","AgeRight Advantage","H1372","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Marquis Companies I, Inc.","Seattle","734","4560 SE International Way","#100","Milwaukie","OR","97222","","Sidlinger","Rocio","","1-855-855-0489","1664","","rocio.sidlinger@curanahealth.com","10900 Nuckols Road","Suite 110","Glen Allen","VA","23060","01/03/2025"
"MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Generations Advantage","H1365","Local CCP","Local PPO","01/01/2010","Not-for-Profit/Non-Profit","Martin's Point Health Care, Inc.","Boston","5,287","PO Box 9746","331 Veranda St.","Portland","ME","04104","Director Compliance & MCO","Loomis","Elizabeth","","1-888-732-7364","","","elizabeth.loomis@martinspoint.org","P.O. Box 9746","331 Veranda Street Bldg 2","Portland","ME","04104","01/04/2024"
"MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Generations Advantage","H5591","Local CCP","HMO/HMOPOS","01/01/2007","Not-for-Profit/Non-Profit","Martin's Point Health Care, Inc.","Boston","79,734","P.O. Box 9746","331 Veranda Street","Portland","ME","04104","Director Compliance & MCO","Loomis","Elizabeth","","1-888-732-7364","","","elizabeth.loomis@martinspoint.org","P.O. Box 9746","331 Veranda Street Bldg 2","Portland","ME","04104","02/03/2025"
"MATTHEW THORNTON HEALTH PLAN, INC.","Anthem Blue Cross and Blue Shield","H3536","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","Elevance Health, Inc.","Chicago","9,329","3000 Goffs Falls Road","","Manchester","NH","031110001","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"MCGREGOR PACE","McGregor PACE","H3613","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","McGregor at Overlook","Chicago","538","26310 Emery Road","","Warrensville HEIGHTS","OH","44128","CEO","McCoy","Tangi","","1-216-791-3580","","","tangi.mccoy@mcgregorctr.org","26310 Emery Road","","Warrensville Heights","OH","44128","11/05/2021"
"MCLAREN HEALTH PLAN, INC.","McLaren Medicare","H6322","Local CCP","HMO/HMOPOS","01/01/2022","Not-for-Profit/Non-Profit","McLaren Health Care Corporation","Chicago","2,854","G-3245 Beecher Rd","","Flint","MI","48532","","Services","Member","","1-833-358-2404","","","medicarememberservices@mclaren.org","PO Box 44092","","Indianapolis","IN","46208","04/01/2022"
"MCS ADVANTAGE, INC.","MCS Classicare","H5577","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","MHH Healthcare, L.P.","Dallas","318,539","MCS Plaza","255 Ponce De Leon Ave.","San Juan","PR","00918","Network Operational Proce","Gonzalez","Deliannie","","1-787-758-2500","3464","","DGonzalezm@medicalcardsystem.com","MCS Plaza","255 Ponce de Leon Avenue, Second Floor","San Juan","PR","00918","12/08/2023"
"MEDICA CENTRAL HEALTH PLAN","Medica","H8019","Local CCP","HMO/HMOPOS","01/01/2021","Not-for-Profit/Non-Profit","Medica Holding Company","Dallas","308","10101 Woodfield Lane","","St Louis","MO","63132","Customer Service","Service","Customer","","1-877-232-7566","","","DHP.CustomerRelationsResolutionTeam@deancare.com","1277 Deming Way","","Madison","WI","53717","05/19/2025"
"MEDICA HEALTH PLANS","Medica","H9952","Local CCP","HMO/HMOPOS","01/01/2019","Not-for-Profit/Non-Profit","Medica Holding Company","Dallas","1,951","401 Carlson Parkway","","Minnetonka","MN","55305","","Service","Customer","","1-800-234-8755","","","AskGovtPrograms@medica.com","401 Carlson Parkway","","Minnetonka","MN","55305","05/20/2025"
"MEDICA HEALTH PLANS","Medica","H2458","Local CCP","HMO/HMOPOS","07/01/1997","Not-for-Profit/Non-Profit","Medica Holding Company","Dallas","10,112","401 Carlson Parkway","","MINNETONKA","MN","55305","","Service","Customer","","1-800-234-8755","","","AskGovtPrograms@medica.com","401 Carlson Parkway","","Minnetonka","MN","55305","02/28/2022"
"MEDICA HEALTH PLANS","Medica","H8889","Local CCP","Local PPO","01/01/2019","Not-for-Profit/Non-Profit","Medica Holding Company","Dallas","60,287","401 Carlson Parkway","","Minnetonka","MN","55305","","Service","Customer","","1-800-234-8755","","","AskGovtPrograms@medica.com","401 Carlson Parkway","","Minnetonka","MN","55305","02/28/2022"
"MEDICA HEALTH PLANS","Medica","H6154","Local CCP","HMO/HMOPOS","01/01/2018","Not-for-Profit/Non-Profit","Medica Holding Company","Dallas","787","401 Carlson Parkway","","Minnetonka","MN","55305","","Service","Customer","","1-800-234-8755","","","AskGovtPrograms@medica.com","401 Carlson Parkway","","Minnetonka","MN","55305","02/28/2022"
"MEDICA INSURANCE COMPANY","Medica","H2450","1876 Cost","1876 Cost","01/01/1990","Not-for-Profit/Non-Profit","Medica Holding Company","Kansas City","77,835","401 Carlson Parkway","P.O. BOX 9310","MINNEAPOLIS","MN","554409310","","Service","Customer","","1-800-234-8755","","","AskGovtPrograms@medica.com","401 Carlson Parkway","","Minnetonka","MN","55305","02/28/2022"
"MEDICAL ASSOCIATES CLINIC HEALTH PLAN","Medical Associates Clinic Health Plan of Wisconsin","H5256","1876 Cost","1876 Cost","02/01/1996","Not-for-Profit/Non-Profit","Medical Associates Clinic, P.C.","Atlanta","4,569","1605 ASSOCIATES DRIVE, SUITE 101","","DUBUQUE","IA","52002","Marketing Specialist","Backhaus","Matt","","1-563-556-8070","4844","1-563-556-5134","mbackhaus@mahealthcare.com","1605 Associates Drive, Suite 101","","Dubuque","IA","52002","03/26/2024"
"MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Health Plan, Inc.","H1651","1876 Cost","1876 Cost","02/01/1996","For Profit","Medical Associates Clinic, P.C.","Atlanta","14,662","1605 ASSOCIATES DRIVE, SUITE 101","","DUBUQUE","IA","52002","Marketing Specialist","Backhaus","Matt","","1-563-556-8070","4844","1-563-556-5134","mbackhaus@mahealthcare.com","1605 Associates Drive, Suite 101","","Dubuque","IA","52002","03/26/2024"
"MEDICAL MUTUAL OF OHIO","Medical Mutual of Ohio","H4497","Local CCP","Local PPO","01/01/2016","Not-for-Profit/Non-Profit","MEDICAL MUTUAL OF OHIO","Chicago","15,142","100 American Road","","Cleveland","OH","44144","Director, Provider Experi","Subsinsky","Shirra","","1-800-362-1279","","","ProviderInformation@medmutual.com","100 American Road","","Cleveland","OH","44144","05/12/2023"
"MEDICAL MUTUAL OF OHIO","Medical Mutual of Ohio","H6723","Local CCP","HMO/HMOPOS","01/01/2016","Not-for-Profit/Non-Profit","MEDICAL MUTUAL OF OHIO","Chicago","70,932","100 American Road","","Cleveland","OH","44144","Director, Provider Experi","Subsinsky","Shirra","","1-800-362-1279","","","ProviderInformation@medmutual.com","100 American Road","","Cleveland","OH","44144","05/26/2023"
"MEDISUN, INC.","Blue Cross Blue Shield of Arizona (AZ Blue)","H0302","Local CCP","HMO/HMOPOS","08/01/1999","For Profit","Blue Cross Blue Shield of Arizona","Chicago","31,919","8220 N. 23rd Ave Buld 1","","Phoenix","AZ","85021","","Services","Member","","1-480-937-0409","","","contact.advantage@azblue.com","8220 N 23rd Ave","","Phoenix","AZ","85021","08/23/2023"
"MEMORIAL HERMANN HEALTH PLAN","Memorial Hermann Health Plan","H7115","Local CCP","HMO/HMOPOS","01/01/2015","For Profit","Memorial Hermann Health System","Seattle","12,805","11740 Katy Highway, Building III","Fifth Floor","Houston","TX","77079","Chief Executive Officer","Hurt","Jay","","1-713-597-2523","1107","","Jay.Hurt2@memorialhermann.org","24 Greenway Plaza","Suite 1150","Houston","TX","77046","09/22/2023"
"MERCY CARE","Mercy Care Advantage","H5580","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","Mercy Care","New York","10,971","4750 S. 44th Place, Suite 150","","Phoenix","AZ","85040","Director, Medicare Produc","Richardson","Shannon","","1-602-453-5592","","","RichardsonS4@mercycareaz.org","4750 S. 44th Place,  Suite 150","","Phoenix","AZ","85040","11/21/2023"
"MERCY LIFE OF ALABAMA","Mercy LIFE of Alabama","H4074","National PACE","National PACE","12/01/2011","Not-for-Profit/Non-Profit","Trinity Health Corporation","Atlanta","163","2900 Springhill Ave.","","Mobile","AL","36607","Executive Director","Overton","Kathryn","","1-251-287-8420","","1-251-287-8478","kathryn.overton@mercylifeal.com","2900 Springhill Ave","","Mobile","AL","36607","08/24/2022"
"MERCY LIFE, INC.","Mercy LIFE","H0809","National PACE","National PACE","03/01/2014","Not-for-Profit/Non-Profit","Trinity Health Corporation","New York","214","200 Hillside Circle","Suite 1","West Springfield","MA","01089","Executive Director","LeClaire","Kevin","","1-413-827-4231","","1-413-493-2024","Kevin.LeClaire@trinity-health.org","200 Hillside Circle","Suite 1","West Springfield","MA","01089","10/04/2023"
"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Meridian Medicare-Medicaid Plan (MMP)","H6080","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2014","For Profit","Centene Corporation","Dallas","14,542","7700 Forsyth","","St. Louis","MO","63105","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8725 Henderson Rd","","Tampa","FL","33634","05/12/2025"
"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Wellcare","H5779","Local CCP","HMO/HMOPOS","01/01/2013","For Profit","Centene Corporation","Denver","7,825","7700 Forsyth","","St. Louis","MO","63105","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8725 Henderson Rd","","Tampa","FL","33634","06/18/2024"
"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Wellcare","H2117","Local CCP","Local PPO","01/01/2022","For Profit","Centene Corporation","Denver","8,349","7700 Forsyth Blvd","","St. Louis","MO","63105","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8725 Henderson Rd","","Tampa","FL","33634","06/20/2024"
"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","MeridianComplete (Medicare-Medicaid Plan)","H0480","Demo","Medicare-Medicaid Plan HMO/HMOPOS","03/01/2015","For Profit","Centene Corporation","Dallas","4,984","7700 Forsyth Blvd","","St. Louis","MO","63105","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8725 Henderson Rd","","Tampa","FL","33634","05/12/2025"
"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Wellcare","H5475","Local CCP","HMO/HMOPOS","01/01/2011","For Profit","Centene Corporation","Denver","20,042","7700 Forsyth","","St. Louis","MO","63105","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8725 Henderson Rd","","Tampa","FL","33634","06/18/2024"
"METROPLUS HEALTH PLAN, INC.","MetroPlus Health Plan","H0423","Local CCP","HMO/HMOPOS","01/01/2008","Not-for-Profit/Non-Profit","New York City Health and Hospitals Corporation","Atlanta","12,045","50 Water Street","7th Floor","New York","NY","10004","Director of Communication","Soman","Kathryn","","1-212-908-8588","","1-212-908-8603","somank@metroplus.org","50 Water Street","7th Floor","New York","NY","10004","04/28/2021"
"MIDLAND CARE CONNECTION","Midland Care PACE","H5822","National PACE","National PACE","01/01/2007","Not-for-Profit/Non-Profit","Midland Care Connection, Inc.","San Francisco","544","200 SW Frazier Circle","","Topeka","KS","66606","CEO","Sullivan","Shawn","","1-785-232-2044","","","ssullivan@midlandcc.org","200 SW Frazier Circle","","Topeka","KS","66606","04/06/2022"
"MILFORD WELLNESS VILLAGE PACE","PACE Your LIFE","H8614","National PACE","National PACE","06/01/2022","For Profit","Milford Wellness Village PACE, LLC","Philadelphia","57","21 West Clarke Ave.","Suite 1010","Milford","DE","19963","Director of Marketing & E","Wilson","Michael","","1-302-865-3565","102","","mwilson@paceyourlifemwv.com","21 W. Clarke Ave, Suite 1010","Suite 1010","Milford","DE","19963","04/10/2025"
"MISSOURI CARE, INCORPORATED","Healthy Blue","H6316","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Elevance Health, Inc.","Chicago","2,403","8735 Henderson Rd","Ren 1","Tampa","FL","33634","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"MMM HEALTHCARE, LLC","Medicare y Mucho Mas (MMM)","H4004","Local CCP","HMO/HMOPOS","08/01/2004","For Profit","Elevance Health, Inc.","Chicago","111,775","350 Chardón Avenue","Suite 500, Torre Chardón","San Juan","PR","009182137","Director II Customer Care","Iglesias","Morayma","","1-866-676-6060","","","morayma.iglesias-sustache@mmmhc.com","350 Avenida Chardon","Torre Chardon, Suite 500","San Juan","PR","00918","02/03/2025"
"MMM HEALTHCARE, LLC","Medicare y Mucho Mas (MMM)","H4003","Local CCP","HMO/HMOPOS","09/01/2001","For Profit","Elevance Health, Inc.","Chicago","103,246","350 Chardon Ave Suite 500","Torre Chardon","San Juan","PR","009182137","Director II Customer Care","Iglesias","Morayma","","1-866-676-6060","","","morayma.iglesias-sustache@mmmhc.com","350 Avenida Chardon","Torre Chardon, Suite 500","San Juan","PR","00918","07/10/2024"
"MMM HEALTHCARE, LLC","Medicare y Mucho Mas (MMM)","H7522","Local CCP","Local PPO","01/01/2016","For Profit","Elevance Health, Inc.","Chicago","519","350 Chardon Ave Suite 500","Torre Chardon","San Juan","PR","009182137","Director II Customer Care","Iglesias","Morayma","","1-866-676-6060","","","morayma.iglesias-sustache@mmmhc.com","350 Avenida Chardon","Torre Chardon, Suite 500","San Juan","PR","00918","02/03/2025"
"MOLINA HEALTHCARE OF ARIZONA, INC.","Molina Healthcare of Arizona","H8845","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Molina Healthcare, Inc.","New York","800","5055 E Washington Street","Suite 210","Phoenix","AZ","85034","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/21/2025"
"MOLINA HEALTHCARE OF CALIFORNIA","Molina Healthcare of California","H5810","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","Molina Healthcare, Inc.","New York","1,070","200 Oceangate Suite 100","","Long Beach","CA","90802","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/21/2025"
"MOLINA HEALTHCARE OF CALIFORNIA","Molina Healthcare of California","H3038","Local CCP","HMO/HMOPOS","01/01/2024","For Profit","Molina Healthcare, Inc.","New York","23,035","200 Oceangate  Suite 100","","Long Beach","CA","90802","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/21/2025"
"MOLINA HEALTHCARE OF ILLINOIS INC","Molina Healthcare of Illinois","H2715","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Molina Healthcare, Inc.","New York","446","1520 Kensington Road","Suite 212","Oak Brook","IL","60523","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/21/2025"
"MOLINA HEALTHCARE OF ILLINOIS, INC.","Molina Healthcare of Illinois","H8046","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2014","For Profit","Molina Healthcare, Inc.","Dallas","14,551","1520 Kensington Road","Ste. 212","Oakbrook","IL","60523","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/28/2025"
"MOLINA HEALTHCARE OF KENTUCKY, INC.","Passport Advantage","H1799","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","Molina Healthcare, Inc.","New York","1,191","5100 Commerce Crossing Drive","","Louisville","KY","40229","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","02/02/2021"
"MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare of Michigan","H7844","Demo","Medicare-Medicaid Plan HMO/HMOPOS","05/01/2015","For Profit","Molina Healthcare, Inc.","Dallas","9,223","880 W. Long Lake Road","Ste. 600","Troy","MI","48098","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/28/2025"
"MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare of Michigan","H5926","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","Molina Healthcare, Inc.","New York","9,928","880 W.Long Lake Rd","Suite 600","Troy","MI","48098","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/21/2025"
"MOLINA HEALTHCARE OF NEVADA INC","Molina Healthcare of Nevada","H2478","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Molina Healthcare, Inc.","New York","34","200 Virginia st","8th Floor","Reno","NV","89501","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/21/2025"
"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare of Ohio","H9955","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Molina Healthcare, Inc.","New York","1,279","3000 Corporate Exchange Drive","","Columbus","OH","43231","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/21/2025"
"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare of Ohio","H5280","Demo","Medicare-Medicaid Plan HMO/HMOPOS","05/01/2014","For Profit","Molina Healthcare, Inc.","Dallas","11,818","3000 Corporate Exchange Drive","","Columbus","OH","43231","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/28/2025"
"MOLINA HEALTHCARE OF SOUTH CAROLINA, INC.","Molina Healthcare of South Carolina","H2533","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2015","For Profit","Molina Healthcare, Inc.","Chicago","2,725","200 Oceangate - Suite 100","","Long Beach","CA","90802","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/28/2025"
"MOLINA HEALTHCARE OF SOUTH CAROLINA,INC","Molina Healthcare of South Carolina","H8176","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Molina Healthcare, Inc.","New York","1,092","4105 Faber Place Drive","Suite 120","North Charleston","SC","29405","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/21/2025"
"MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas","H8197","Demo","Medicare-Medicaid Plan HMO/HMOPOS","03/01/2015","For Profit","Molina Healthcare, Inc.","Dallas","9,445","84 NE Loop 410","Ste. 400","San Antonio","TX","78216","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/28/2025"
"MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas, Inc.","H7678","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Molina Healthcare, Inc.","New York","3,935","2200 Highway 121, Suite 270A","","Bedford","TX","76021","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/21/2025"
"MOLINA HEALTHCARE OF UTAH, INC.","Molina Healthcare of Utah & Idaho","H5628","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","Molina Healthcare, Inc.","New York","16,060","7050 Union Park Center","Suite 200","Midvale","UT","84047","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/21/2025"
